TMS Load #,Primary Reference #,Shipper,Status,Origin,Pick Date,Destination,Drop Date,Trailer #,Pro#,BOL #,Equipment,Rate,Currency,Load Notes,Tender Date,Accept Date,Close Date,Service Requests,Order #,Intermediate Stops,Load Weight (lb),Volume (cu ft),# of Picks,# of Drops
74366880,74366880,HALLIBURTON,COMPLETED,SANTROL BIG LAKE,01/21/2018 22:56:00,"VANESSA P1 UNIT 5201BH,UPTON",01/22/2018 01:05:00,104,10485124,HAL74366880,Van,           644.50,USD,,01/19/2018 11:05:17,01/19/2018 11:08:53,01/22/2018 08:20:12,,904491631-100003676-000030,,"52,000",0,1,1
74367088,74367088,HALLIBURTON,COMPLETED,UNIMIN PRONTO,01/22/2018 09:07:00,"VANESSA P1 UNIT 5201BH,UPTON",01/22/2018 10:52:00,126,856145,HAL74367088,Van,           633.75,USD,,01/19/2018 11:03:23,01/19/2018 11:08:54,01/22/2018 21:47:39,,904491631-100064018-000040,,"52,000",0,1,1
74367091,74367091,HALLIBURTON,COMPLETED,UNIMIN PRONTO,01/20/2018 19:33:00,"VANESSA P1 UNIT 5201BH,UPTON",01/22/2018 10:52:00,126,854002,HAL74367091,Van,           633.75,USD,,01/19/2018 11:03:26,01/19/2018 11:08:55,01/22/2018 23:57:11,,904491631-100064018-000040,,"52,000",0,1,1
74367095,74367095,HALLIBURTON,COMPLETED,UNIMIN PRONTO,01/21/2018 17:40:00,"VANESSA P1 UNIT 5201BH,UPTON",01/22/2018 00:01:00,123,854001,HAL74367095,Van,           633.75,USD,,01/19/2018 11:03:28,01/19/2018 11:08:57,01/22/2018 01:05:49,,904491631-100064018-000040,,"52,000",0,1,1
74367098,74367098,HALLIBURTON,COMPLETED,UNIMIN PRONTO,01/21/2018 17:47:00,"VANESSA P1 UNIT 5201BH,UPTON",01/22/2018 02:30:00,117,854992,HAL74367098,Van,           633.75,USD,,01/19/2018 11:03:31,01/19/2018 11:08:59,01/22/2018 21:38:13,,904491631-100064018-000040,,"52,000",0,1,1
74367099,74367099,HALLIBURTON,COMPLETED,UNIMIN PRONTO,01/21/2018 17:48:00,"VANESSA P1 UNIT 5201BH,UPTON",01/22/2018 02:45:00,127,854994,HAL74367099,Van,           633.75,USD,,01/19/2018 11:03:32,01/19/2018 11:08:59,01/22/2018 21:39:06,,904491631-100064018-000040,,"52,000",0,1,1
74367100,74367100,HALLIBURTON,COMPLETED,UNIMIN PRONTO,01/21/2018 19:57:00,"VANESSA P1 UNIT 5201BH,UPTON",01/22/2018 02:58:00,113,855173,HAL74367100,Van,           633.75,USD,,01/19/2018 11:03:32,01/19/2018 11:09:00,01/22/2018 21:40:09,,904491631-100064018-000040,,"52,000",0,1,1
74367101,74367101,HALLIBURTON,COMPLETED,UNIMIN PRONTO,01/21/2018 21:54:00,"VANESSA P1 UNIT 5201BH,UPTON",01/22/2018 04:00:00,130,855231,HAL74367101,Van,           633.75,USD,,01/19/2018 11:03:33,01/19/2018 11:09:01,01/22/2018 21:41:00,,904491631-100064018-000040,,"52,000",0,1,1
74367102,74367102,HALLIBURTON,COMPLETED,UNIMIN PRONTO,01/21/2018 21:46:00,"VANESSA P1 UNIT 5201BH,UPTON",01/22/2018 05:42:00,126,855229,HAL74367102,Van,           633.75,USD,,01/19/2018 11:03:34,01/19/2018 11:09:01,01/22/2018 21:44:13,,904491631-100064018-000040,,"52,000",0,1,1
74367103,74367103,HALLIBURTON,COMPLETED,UNIMIN PRONTO,01/21/2018 21:41:00,"VANESSA P1 UNIT 5201BH,UPTON",01/22/2018 03:31:00,131,855227,HAL74367103,Van,           633.75,USD,,01/19/2018 11:03:34,01/19/2018 11:09:02,01/22/2018 21:45:02,,904491631-100064018-000040,,"52,000",0,1,1
74367104,74367104,HALLIBURTON,COMPLETED,UNIMIN PRONTO,01/21/2018 22:10:00,"VANESSA P1 UNIT 5201BH,UPTON",01/22/2018 03:38:00,122,855245,HAL74367104,Van,           633.75,USD,,01/19/2018 11:03:35,01/19/2018 11:09:02,01/22/2018 21:45:47,,904491631-100064018-000040,,"52,000",0,1,1
74442349,74442349,HALLIBURTON,COMPLETED,HALLIBURTON MONAHANS,01/21/2018 23:01:00,"VANESSA P1 UNIT 5201BH,UPTON",01/22/2018 06:10:00,111,11186510,HAL74442349,Van,           687.50,USD,,01/19/2018 00:14:53,01/19/2018 00:16:00,01/22/2018 21:53:02,,904491631-100064018-000040,,"52,000",0,1,1
74442350,74442350,HALLIBURTON,COMPLETED,HALLIBURTON MONAHANS,01/21/2018 22:40:00,"VANESSA P1 UNIT 5201BH,UPTON",01/22/2018 05:58:00,119,11186509,HAL74442350,Van,           687.50,USD,,01/19/2018 00:14:54,01/19/2018 00:16:00,01/22/2018 21:53:57,,904491631-100064018-000040,,"52,000",0,1,1
74442351,74442351,HALLIBURTON,COMPLETED,HALLIBURTON MONAHANS,01/22/2018 00:12:00,"VANESSA P1 UNIT 5201BH,UPTON",01/22/2018 06:17:00,116,11186520,HAL74442351,Van,           687.50,USD,,01/19/2018 00:14:54,01/19/2018 00:16:00,01/22/2018 21:54:54,,904491631-100064018-000040,,"52,000",0,1,1
74442353,74442353,HALLIBURTON,COMPLETED,HALLIBURTON MONAHANS,01/22/2018 01:44:00,"VANESSA P1 UNIT 5201BH,UPTON",01/22/2018 06:44:00,103,11186527,HAL74442353,Van,           687.50,USD,,01/19/2018 00:14:54,01/19/2018 00:16:01,01/22/2018 21:58:24,,904491631-100064018-000040,,"52,000",0,1,1
74442354,74442354,HALLIBURTON,COMPLETED,HALLIBURTON MONAHANS,01/22/2018 01:37:00,"VANESSA P1 UNIT 5201BH,UPTON",01/22/2018 06:31:00,107,11186525,HAL74442354,Van,           687.50,USD,,01/19/2018 00:14:55,01/19/2018 00:16:01,01/22/2018 21:59:10,,904491631-100064018-000040,,"52,000",0,1,1
74442355,74442355,HALLIBURTON,COMPLETED,HALLIBURTON MONAHANS,01/22/2018 09:26:00,"VANESSA P1 UNIT 5201BH,UPTON",01/22/2018 12:14:00,121,11186560,HAL74442355,Van,           687.50,USD,,01/21/2018 21:27:45,01/21/2018 21:43:32,01/22/2018 20:52:40,,904491631-100064018-000040,,"52,000",0,1,1
